Anhang zur Grünflächensatzung
Alle Grunflächen nach laufender Nummer sortiert in einer Übersicht:
Lfd. Nr.;Anlagenbezeichnung;X-Wert;Y-Wert
182;Foockenstr.;3471192;5552063
183;Am Neufeld;3471209;5553110
184;Linnegraben;3471251;5551969
185;Goldstein Siedlung Grünzug;3471292;5549887
186;Neufeld Grünstreifen entlang der Straße;3471314;5552919
187;Griesheimer Wäldchen;3471341;5552146
188;An der Herrenwiese;3471416;5549526
189;Grünanlage Am Bickenbacher Weg;3471492;5549285
190;Vogelschutzgehölz Flur 32 Niederursel;3471512;5558798
191;Zentmarkweg Grünstreifen;3471525;5554380
192;Foockenstr. an Hs Nr. 79 Spielpl. 242;3471552;5552026
193;Goldstein - Süd Grünzug;3471561;5549155
194;Vogelschutzgehölz Flur 33 Niederursel;3471657;5558442
195;Am Försterpfad;3471710;5549149
196;Sonnenweg / Tannenkopfweg;3471737;5549975
197;Am Försterpfad Spielplatz;3471739;5549225
198;Tannenkopfweg;3471753;5549824
199;Fritz-Schumacher-Weg;3471759;5556265
200;zwischen Biedenkopfer Weg und Breidensteiner Weg;3471805;5553776
201;Glashütterstr. ( Breitlacher Spange );3471839;5554626
202;Strassburger Strasse westlich Autobahn;3471847;5549339
203;Griesheim, Jungmannstr.;3471852;5550594
204;Dammgraben zwischen Rödelheim und Wiesbadener Strasse;3471865;5553410
205;Theodor- Fischer-Weg;3471908;5556171
206;Camillo-Sitte-Weg (Nord);3471909;5556338
207;Am Wiesenhof Goldstein;3471912;5549466
208;Waldschulstrasse;3471912;5551267
209;Waldschulstrasse bis Kiefernstrasse;3471931;5551443
210;Griesheimer Ufer (westl. Autobahn);3471937;5550517
211;Rödelheim S-Bahnhof;3471949;5554338
212;Praunheim zwischen Heerstrasse und verlaengerten Messelweg;3471951;5556551
213;Vogelschutzgehölz Flur 31 Niederursel;3471956;5559270
214;Alte Falterstr.;3471966;5550623
215;Goldsteinpark;3471969;5549611
216;Camillo-Sitte-Weg (Süd);3472021;5556238
217;Breitlacher Strasse;3472042;5553772
218;Goldstein-Süd ÷stl. Kita;3472048;5549349
219;Waldschulstrasse vor August-Zinn-Schule;3472054;5551324
220;Am Wildpfad Grünzug;3472057;5549190
221;Waldschulstrasse/ Omegabrücke;3472081;5550965
222;Am Gemeindegarten;3472155;5550873
223;Tränkweg Goldstein;3472162;5549848
224;Rödelheim ehemaliges Freibad;3472189;5553834
225;Grünstreifen am K.G. V. Westend und Goldstein;3472203;5550119
226;Olbrichstrasse;3472212;5556660
227;Espenstr, Schwarzerlenweg, Bahndamm Grünzug;3472221;5551140
228;Zur Waldau;3472231;5549234
229;Margarete-Schütte-Lithotzky Anlage;3472235;5556086
230;Siedlung Westhausen;3472305;5555638
231;Eberstadtstrasse;3472317;5556729
232;Ludwig-Gehm-Weg;3472318;5556555
233;Solmspark;3472331;5554025
234;Thudichumstrasse;3472353;5554515
235;Vogelschutzgehölz Paul-Kornfeld-Weg;3472382;5558399
236;zwischen Am Hofgut und Morgenzeile;3472428;5549801
237;Am Hofgut Goldstein;3472440;5549826
238;Brentanopark Auf der Insel;3472444;5554182
239;Ludwig-Landmamm-Strasse/Lehmkuhle;3472453;5556021
240;Gerhard- Hauptmann Ring Tiefgarage 24 a;3472462;5558572
241;Grünstreifen am K.G.V. Schwarzbach e. V.;3472466;5549296
242;Rebstockpark westlicher Teil;3472467;5552924
243;zwischen Schöffenstraße und Am Wingertsgrund;3472474;5550707
244;Heinrich-Lübke-Strasse Grünanlage;3472485;5556342
245;Rebstöcker Weg;3472503;5553976
246;Gerhard- Hauptmann- Ring, Tiefgarage 21 d;3472503;5558950
247;Gerhard- Hauptmann- Ring, Tiefgarage 21 b;3472513;5559029
248;Bürgermeister-Schubert-Park Spielplatz;3472542;5550540
249;Gerhard-Hauptmann-Ring vor Hausnummer 198-210;3472556;5558773
250;Gerhard- Hauptmann- Ring,Tiefgarage 24b;3472557;5558607
251;Praunheimer Hohl Grünanlage;3472567;5556199
252;Hof der KFZ-Zulassungsstelle;3472568;5552524
253;Paul-Kornfeld-Weg;3472579;5558317
254;Damaschkeanger;3472590;5556771
255;Brentanopark;3472592;5554244
256;Niddainsel Am Brentano;3472596;5554402
257;Gerhard- Hauptmann Ring,Tiefgarage 26;3472616;5558417
258;Adlerwiese;3472624;5556723
259;Bischofsheimer Platz;3472635;5551747
260;Gerhard- Hauptmann- Ring Tiefgarage 22 a;3472654;5558721
261;Nidda/ Altarm 7;3472659;5555748
262;Boseweg;3472666;5549628
263;Nidda/ Altarm 8;3472677;5556158
264;Ludwig- Landmann-Strasse zwischen Altarm 7 und Strasse;3472681;5555595
265;Zum Rebstockbad;3472692;5553205
266;Schmidtstrasse Kreisel;3472695;5552454
267;Schwanheim Flur 37 Flurstueck 8448/8 Herrnwiesen;3472697;5549174
268;Nidda/Altarm 9;3472698;5556540
269;Alexanderstraße Spielplatz;3472712;5555077
270;Biegwald;3472730;5553588
271;Gerhard- Hauptmann- Ring Tiefgarage 25 a;3472733;5558458
272;Kullmannwiese;3472740;5554689
273;Vogelschutzgehölz 29 Niederursel;3472742;5559269
274;Grünverbindung Thomas- Mann Strasse - Weisskirchener Weg;3472747;5558809
275;Priessnitzstrasse;3472749;5554301
276;Gerhard- Hauptmann- Ring, Tiefgarage 21;3472753;5558949
277;Am Niddatal Grünanlage;3472789;5555935
278;Weißkirchener Weg Verkehrsgrün;3472795;5558832
279;Gerhart-Hauptmann-Ring /Thomas-Mann-Strasse Grünverbindung;3472826;5558518
280;Marxheimer Platz;3472837;5551773
281;Sandplackenstr.;3472847;5556968
282;Vogelschutzgehölz Flur 12 Niederursel;3472850;5557793
283;Gerhard- Hauptmann Ring Tiefgarage 28 a;3472855;5558272
284;Vogelschutzgehölz Nummer 21 Niederursel;3472865;5560434
285;Ludwig-Landmann-Strasse südlich Sportplatz;3472873;5554018
286;Nidda/ Altarm 6;3472878;5555562
287;Thomas-Mann Straße Einkaufszentrum;3472888;5558696
288;Obermühlgasse/Dorfwiesenweg;3472894;5559236
289;Weißkirchner Weg Tiefgarage 19;3472897;5558827
290;Gerhard- Hauptmann Ring Tiefgarage 29 a;3472905;5558407
291;Am Treutengraben;3472939;5556267
292;Am Birnbäumchen;3472945;5558858
293;Gerhard- Hauptmann Ring Spielplatz;3472950;5558146
294;Rudolf- Hilferding- Straße Tiefgarage 37;3472974;5557925
295;Hausener Obergasse;3472984;5555301
296;Grünstreifen Kleyerstr.;3472998;5550993
297;Nidda Praunheim;3473003;5556596
298;Anspacher Straße;3473008;5552210
299;Ludwig-Landmann-Strasse;3473039;5554897
300;An der Luhe Kriegerdenkmal;3473058;5555772
301;Seibertsgasse am Urselbach;3473076;5559167
302;An der Litzelwiese;3473088;5556067
303;Kronthaler Str.;3473093;5552159
304;Am Spritzenhaus;3473094;5555187
305;Nidda/ Altarm 10;3473095;5556631
306;Hausen Am Strandbad;3473098;5555098
307;Karl- Kautzky Weg;3473113;5559086
308;Niederurseler Landstrasse Verkehrsgrün;3473128;5558884
309;Griesheimer Ufer (Mainvorland oestlich Autobahn;3473135;5550455
310;Graebestrasse und an der Kirche;3473147;5557143
311;Heilmannstraße Tiefgarage 34;3473154;5557958
312;Rebstockpark östlicher Teil;3473169;5552835
313;Praunheimer Weg Tiefgarage 32;3473170;5558359
314;Eduard- Bernstein Weg Tiefgarage 36 a;3473189;5558848
315;Oswaltstraße Tiefgarage 36 b;3473190;5558753
316;Niederrad Bürostadt zw. Lyoner Strasse und Goldsteinstrasse;3473193;5549731
317;Martin- Luther- King- Park;3473199;5558491
318;Vogelschutzgehölz Ludwig-Landmann-Strasse;3473230;5553470
319;Fischstein Spielplatz;3473233;5554935
320;Rödelheimer Landstraße hinter Hausnummer 90 bis 124;3473249;5553995
321;Ackermannstraße (Friedrich-Ebert-Siedlung);3473252;5551314
322;Hausen Alter Friedhof und Ehrenmal;3473259;5555311
323;Hausen nördlich Alter Friedhof;3473282;5555357
324;Industrie Hausen Spielplatz;3473293;5554472
325;Hausener Obergasse / Bachmannstrasse;3473302;5555092
326;Peter-Zenger-Strasse;3473323;5554988
327;Fritz-Lennig-Anlage;3473330;5557296
328;Niddapark Zugangsweg;3473376;5556096
329;Nidda Altarm 11;3473397;5557097
330;Ackermannstraße;3473428;5551213
331;Rhein-Main Schnellweg;3473446;5558138
332;Im Weimel, Tiefgarage 7 b;3473481;5557513
333;Bernadottestrasse Tiefgarage 7 a;3473521;5557639
334;Hammarskjöldring Tiefgarage 9 c;3473537;5558373
335;Bernadottestrasse Tiefgarage 35;3473553;5558046
336;Hellerhof-Siedlung Schneidhainer Strasse;3473564;5552173
337;Buzzinstrasse / Zeppelin Gedenkstein;3473565;5552800
338;In der Römerstadt, Tiefgarage 1;3473577;5557493
339;Hammarskjöldring, Tiefgarage 9 b;3473593;5558356
340;Hammarskjöldring,TG 9 a;3473594;5558420
341;Bernadottestrasse Tiefgarage 8 b;3473599;5558003
342;Gustavsburgplatz;3473601;5551732
343;Grünstreifen am Parkplatz K.G.V.Bockenheim;3473611;5554925
344;Fasanenweg Spielplatz;3473616;5561374
345;Herzbergstrasse;3473641;5558955
346;Bernadottestrasse Tiefgarage 8 d;3473649;5558102
347;Im Weimel Grünverbindung;3473684;5557660
348;Walter-Schwagenscheidt-Platz, Tiefgarage 8 c;3473688;5558005
349;Friedrich-Naumann-Platz;3473706;5553008
350;Voltastrasse Pocketpark West;3473721;5553549
351;Hausen Langweidenstr. Kreisel;3473747;5555295
352;Schwarzer Platz- Hammerskjöldring Grünverbindung;3473768;5558529
353;Niederurseler Landstrasse;3473786;5558704
354;Nidda Altarm 12 Nachtigallenwäldchen;3473813;5557015
355;In den Stegwiesen;3473813;5559068
356;Römerstadt Bastionen Im Burgfeld;3473816;5557288
357;Zum Bergwerk;3473823;5561700
358;Große Niederwiese;3473825;5557144
359;Voltastrasse Pocketpark Mitte;3473836;5553530
360;Schwarzer Platz;3473846;5558262
361;Hahnstrasse Parkplatz;3473852;5549002
362;Volkspark Niddatal;3473881;5556252
363;Bolzplatz Schönhof;3473901;5554329
364;An der S-Bahn Stadion;3473903;5548006
365;Schwanheimer Strasse;3473907;5550241
366;Quäkerplatz;3473909;5552114
367;Voltastrasse Pocketpark Ost;3473947;5553516
368;Idsteiner Strasse Spielplatz;3473947;5552267
369;Funckstrasse;3473977;5553007
370;Ernst-Kahn Strasse Tiefgerage 3 a;3474010;5557760
371;Haardtwaldplatz Spielpl. Nr. 78;3474034;5550184
372;Haardtwaldplatz;3474051;5550097
373;Am Hasensprung Grünfläche;3474067;5561049
374;Galvanistr./Voltastrasse Kinderspielplatz;3474074;5553454
375;Rödelheimer Strasse Spielplatz Nr. 86;3474077;5554340
376;Kirchplatz Ochsengraben;3474087;5554446
377;Ernst-Kahn Strasse Tiefgarage 3 b;3474102;5557707
378;Baumhain südlich der Geschwister-Scholl-Schule;3474102;5557182
379;Obere Wiesen am Urselbach;3474107;5558940
380;Tacitusstrasse;3474108;5558267
381;Bernuspark;3474136;5554020
382;Rosa- Luxemburg Strasse( von Titusstrasse bis In der Römerstadt);3474147;5557818
383;Freizeitpark Kalbach;3474160;5561342
384;Crutzenkirchweg;3474169;5559920
